Release,Domestic,Worldwide,Director,producers,Production Company
Smile,"$55,505,998","$102,305,998"," Parker Finn
",Marty Bowen; Adam Fishbach; Wyck Godfrey; Isaac Klausner; Robert Salerno,"
Paramount Players
"
The Woman King,"$55,294,615","$65,294,615"," Gina Prince-Bythewood
",Marty Bowen; Adam Fishbach; Wyck Godfrey; Isaac Klausner; Robert Salerno; Maria Bello; Dale Butler; Viola Davis; Peter McAleese; Cathy Schulman; Julius Tennon,"
TriStar Pictures
"
